week_no,week_end_on,new_cases,weekly_vacc,cum_vacc,perc_vacc,weekly_death,avg_5years_precovid_death
36,04/09/2020,13636,0,0,0.00,7739,9695
37,11/09/2020,20560,0,0,0.00,9811,9513
38,18/09/2020,23174,0,0,0.00,9523,9440
39,25/09/2020,39364,0,0,0.00,9634,9517
40,02/10/2020,65807,0,0,0.00,9945,9799
41,09/10/2020,96385,0,0,0.00,9954,9973
42,16/10/2020,103294,0,0,0.00,10534,10156
43,23/10/2020,134132,0,0,0.00,10739,10021
44,30/10/2020,138938,0,0,0.00,10887,10164
45,06/11/2020,147793,0,0,0.00,11812,10697
46,13/11/2020,161144,0,0,0.00,12254,10650
47,20/11/2020,128810,0,0,0.00,12535,10882
48,27/11/2020,96404,0,0,0.00,12456,10958
49,04/12/2020,95606,0,0,0.00,12303,10816
50,11/12/2020,127453,0,0,0.00,12292,11188
51,18/12/2020,204531,0,0,0.00,13011,11926
52,25/12/2020,227538,0,0,0.00,11520,7533
53,01/01/2021,345695,0,0,0.00,10069,10955
54,08/01/2021,385539,0,0,0.00,17751,10955
55,15/01/2021,291120,1171243,3216433,5.39,18042,12609
56,22/01/2021,224908,2109885,5326318,8.92,18676,11860
57,29/01/2021,156116,2305187,7631505,12.78,18448,11740
58,05/02/2021,117778,2757389,10388894,17.40,17192,11297
59,12/02/2021,83330,2606717,12995611,21.76,15354,11660
60,19/02/2021,69877,2396271,15391882,25.77,13809,11824
61,26/02/2021,53140,2204335,17596217,29.46,12614,11295
62,05/03/2021,35461,1878973,19475190,32.61,11592,11044
63,12/03/2021,33736,1720328,21195518,35.49,10987,10898
64,19/03/2021,32044,2909391,24104909,40.36,10311,10567
65,26/03/2021,31769,2544459,26649368,44.62,10045,10402
66,02/04/2021,22055,1468185,28117553,47.08,8201,9867
67,09/04/2021,16656,435699,28553252,47.81,9098,10126
68,16/04/2021,13973,567313,29120565,48.76,10438,10291
69,23/04/2021,13491,740393,29860958,50.00,9941,9025
70,30/04/2021,12281,757478,30618436,51.27,9692,10059
71,07/05/2021,11776,732436,31350872,52.50,7986,11207
72,14/05/2021,12168,987059,32337931,54.15,10164,9055
73,21/05/2021,13342,1289951,33627882,56.31,9860,10272
74,28/05/2021,17796,1191293,34819175,58.30,9628,10284
75,04/06/2021,27387,881323,35700498,59.78,7778,8260
76,11/06/2021,41854,1005981,36706479,61.46,10204,10140
77,18/06/2021,56719,1230719,37937198,63.53,9459,9445
78,25/06/2021,86470,1257771,39194969,65.63,8690,9458
79,02/07/2021,146237,927212,40122181,67.18,8808,9511
80,09/07/2021,198131,562860,40685041,68.13,9752,9062
81,16/07/2021,296255,372521,41057562,68.75,9697,9179
82,23/07/2021,232205,274556,41332118,69.21,9744,9080
83,30/07/2021,167746,220573,41552691,69.58,10135,9112
84,06/08/2021,173440,192095,41744786,69.90,10187,9271
85,13/08/2021,180460,212628,41957414,70.26,10372,9122
86,20/08/2021,196990,284048,42241462,70.73,10013,9093
87,27/08/2021,191537,339919,42581381,71.30,10268,8994
